"filename", "language", "JSON", "CSS", "JavaScript", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\David\source\repos\40k-bolt-action-react-app\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\David\source\repos\40k-bolt-action-react-app\package-lock.json", "JSON", 29667, 0, 0, 0, 0, 0, 0, 1, 29668
"c:\Users\David\source\repos\40k-bolt-action-react-app\package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\David\source\repos\40k-bolt-action-react-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\App.js", "JavaScript", 0, 0, 174, 0, 0, 0, 0, 8, 182
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\AdvancedRules\AdvancedRules.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\AdvancedRules\AdvancedRulesNavbar.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 2, 84
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\AdvancedRules\Armoured.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 1, 47
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\AdvancedRules\Call-ins\CallInItem.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\AdvancedRules\Call-ins\CallIns.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 2, 41
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\AdvancedRules\Call-ins\call-ins.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\AdvancedRules\Deployment.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 2, 50
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\AdvancedRules\Objectives.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 1, 115
